Informe de grupos de recursos
25 de mayo de 2026 - 1 de junio de 2026
Estado de grupos de recursos,Grupo de recursos,Campaña,Título,Títulos largos,Descripción,Imágenes de marketing,imágenes de marketing cuadradas,Imágenes de marketing verticales,Calidad del anuncio,Estado,Indicador de público,Temas de búsqueda,Código de moneda,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Valor de conv.,Valor de conv./costo,Porcentaje de conv.,Conversiones,Costo/conv.
PAUSED,Motos Taiga,Pmax - Motos Taiga,"Taiga: Tu Próxima Moto Hoy, Consultá Precios por WhatsApp, Taiga TL 110 en Oferta PY, Motos Taiga: Entrega Rápida, Comprá tu Moto en Inverfin, Todos los Modelos, Precios Imperdibles, Todo en Motos Taiga, Taiga en Promo, Date el gusto con Taiga, Te asesoramos","Motos Taiga. Precio y Financiación Exclusiva en Paraguay!, Consultá la Taiga TL 110 y TL Maxi: Stock y Asesoramiento Personal por WhatsApp., La Mejor Opción de Movilidad Urbana: Tu Taiga TL te espera en Inverfin.","Encontrá todos los modelos de Taiga: TL 110, TL Maxi y más. ¡Consultá tu precio final!, Asesoramiento 100% Personalizado por WhatsApp. Te ayudamos a elegir y financiar., Stock garantizado en las principales ciudades de Paraguay. ¡Aprovechá la oferta de cuotas!, Los mejores beneficios de Inverfin en tu moto Taiga. ¡Te respondemos en minutos!","https://tpc.googlesyndication.com/simgad/849372418767973674, https://tpc.googlesyndication.com/simgad/10550194471914595022","https://tpc.googlesyndication.com/simgad/13128733848666633269, https://tpc.googlesyndication.com/simgad/8114997181811333230",https://tpc.googlesyndication.com/simgad/935465980396926500,Promedio,Detenida,MOTOS TAIGA,"motos, motocicletas, motos financiadas, motos en cuotas, financiar motos, cuotas para motos",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,MOTOS TAIGA HOTSALE 2026,Pmax - Motos Taiga,"Taiga: Tu Próxima Moto Hoy, Consultá Precios por WhatsApp, Taiga TL 110 en Oferta PY, Motos Taiga: Promo en Hotsale, Comprá tu Moto en Inverfin, Todos los Modelos en Hotsale, Hotsale Precios Imperdibles, Todo en Motos Taiga, Taiga en Promo Hotsale, Date el gusto con Taiga, Te asesoramos","Motos Taiga. Precio y Financiación Exclusiva en Paraguay!, Consultá la Taiga TL 110 y TL Maxi: Stock y Asesoramiento Personal por WhatsApp., La Mejor Opción de Movilidad Urbana: Tu Taiga TL te espera en Inverfin., Descuentos de hasta 50% off en Hotsale y hasta 12 cuotas sin interés.","Encontrá todos los modelos de Taiga: TL 110, TL Maxi y más a precios increíbles., Asesoramiento 100% Personalizado por WhatsApp. Te ayudamos a elegir y financiar., Stock garantizado en las principales ciudades de Paraguay. ¡Aprovechá la oferta de cuotas!, Los mejores beneficios de Inverfin en tu moto Taiga. ¡Te respondemos en minutos!","https://tpc.googlesyndication.com/simgad/15440342119791652810, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/3424484253544639819, https://tpc.googlesyndication.com/simgad/11828034587447740550, https://tpc.googlesyndication.com/simgad/7203495006846005245","https://tpc.googlesyndication.com/simgad/147967155930632348, https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447",Promedio,Detenida,MOTOS TAIGA,"motos, motocicletas, motos financiadas, motos en cuotas, financiar motos, cuotas para motos",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,MOTOS TAIGA MARZO 2026,Pmax - Motos Taiga,"Taiga: Tu Próxima Moto Hoy, Consultá Precios por WhatsApp, Taiga TL 110 en Oferta PY, Motos Taiga: Entrega Rápida, Comprá tu Moto en Inverfin, Todos los Modelos, Precios Imperdibles, Todo en Motos Taiga, Taiga en Promo, Date el gusto con Taiga, Te asesoramos","Motos Taiga. Precio y Financiación Exclusiva en Paraguay!, Consultá la Taiga TL 110 y TL Maxi: Stock y Asesoramiento Personal por WhatsApp., La Mejor Opción de Movilidad Urbana: Tu Taiga TL te espera en Inverfin.","Encontrá todos los modelos de Taiga: TL 110, TL Maxi y más. ¡Consultá tu precio final!, Asesoramiento 100% Personalizado por WhatsApp. Te ayudamos a elegir y financiar., Stock garantizado en las principales ciudades de Paraguay. ¡Aprovechá la oferta de cuotas!, Los mejores beneficios de Inverfin en tu moto Taiga. ¡Te respondemos en minutos!",https://tpc.googlesyndication.com/simgad/4383021530562026797,https://tpc.googlesyndication.com/simgad/5374002654067448547, --,Promedio,Detenida,MOTOS TAIGA,"motos, motocicletas, motos financiadas, motos en cuotas, financiar motos, cuotas para motos",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,TECNOLOGÍA HOTSALE 2026,Pmax -  TV Promo Pasionista,"Tecnología: Ofertas de Hotsale, Tech en Promo Hotsale, Ofertas Imperdibles en Hotsale, Inverfin Tecnología, Equipate en Inverfin, Inverfin Hotsale, Tecnología Hasta 50% Off, Aprovechá Ofertas de Hotsale, Inverfin, tu espacio, Ahorro en Tecnología","Comprá hoy y disfrutá todo el año. No te pierdas hasta 50% Off en el Hotsale de Inverfín., Celulares, tablets, informática y wearables con hasta 12 cuotas sin interés y 50% Off., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio en Hotsale y servicio post venta garantizado., Descuentos y Envío gratis en todas tus compras. Es ahora o nunca, Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/4390304480334900218, https://tpc.googlesyndication.com/simgad/8141479515515927748, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/11989592165675907184, https://tpc.googlesyndication.com/simgad/7203495006846005245, https://tpc.googlesyndication.com/simgad/2652432844983081985, https://tpc.googlesyndication.com/simgad/11828034587447740550","https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447, https://tpc.googlesyndication.com/simgad/4088548380889304729, https://tpc.googlesyndication.com/simgad/14867209215314157537",Deficiente,Detenida,TECNOLOGÍA, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
ENABLED,AIRES ACONDICIONADO,Pmax -  Aires Acondicionados,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado, Aires Acondicionado en Promo","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio e instalación gratis., Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/15506935217314863925,"https://tpc.googlesyndication.com/simgad/14776623944931414437, https://tpc.googlesyndication.com/simgad/14797740728390896541, https://tpc.googlesyndication.com/simgad/6195314396039295693, https://tpc.googlesyndication.com/simgad/270192571709459708",https://tpc.googlesyndication.com/simgad/8416746137747117889,Promedio,No apta,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,Aires,Pmax -  Tecnología,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio en Inverfin. ¡Consultá por tu BTU!, Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/9407200970874412065,https://tpc.googlesyndication.com/simgad/9503729606757177446, --,Promedio,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,TECNOLOGÍA HOTSALE 2026,Pmax -  Tecnología,"Tecnología: Ofertas de Hotsale, Tech en Promo Hotsale, Ofertas Imperdibles en Hotsale, Inverfin Tecnología, Equipate en Inverfin, Inverfin Hotsale, Tecnología Hasta 50% Off, Aprovechá Ofertas de Hotsale, Inverfin, tu espacio, Ahorro en Tecnología","Comprá hoy y disfrutá todo el año. No te pierdas hasta 50% Off en el Hotsale de Inverfín., Celulares, tablets, informática y wearables con hasta 12 cuotas sin interés y 50% Off., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio en Hotsale y servicio post venta garantizado., Descuentos y Envío gratis en todas tus compras. Es ahora o nunca, Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/4390304480334900218, https://tpc.googlesyndication.com/simgad/8141479515515927748, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/11989592165675907184, https://tpc.googlesyndication.com/simgad/7203495006846005245, https://tpc.googlesyndication.com/simgad/2652432844983081985, https://tpc.googlesyndication.com/simgad/11828034587447740550","https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447, https://tpc.googlesyndication.com/simgad/4088548380889304729, https://tpc.googlesyndication.com/simgad/14867209215314157537",Promedio,Detenida,TECNOLOGÍA, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,AIRES PROMO VERANO 2026,Pmax -  Electro,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio e instalación gratis., Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/15506935217314863925,"https://tpc.googlesyndication.com/simgad/14776623944931414437, https://tpc.googlesyndication.com/simgad/14797740728390896541, https://tpc.googlesyndication.com/simgad/6195314396039295693, https://tpc.googlesyndication.com/simgad/270192571709459708", --,Deficiente,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,ELECTRO MARZO 2026,Pmax -  Electro,"Electro: Ahorrá en Inverfin, Electrodomésticos Ofertas, Electro Cocina en Promo, Ofertas Imperdibles, Inverfin Electro, Equipate en Inverfin, Inverfin Promos, Electro con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Electro y Tecnología","Comprá hoy y disfrutá todo el año., Precios Increíbles en Electro cocina y lavado y con hasta 12 cuotas sin interés., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en heladeras, cocinas, microondas, lavarropas y más. Aprovechá en promo., Financiación disponible. Paga cómodamente en cuotas.",https://tpc.googlesyndication.com/simgad/11658549908933903984,https://tpc.googlesyndication.com/simgad/9858772329385863237, --,Promedio,Detenida,Electro, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,Aires,Pmax -  Electro,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio en Inverfin. ¡Consultá por tu BTU!, Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/9407200970874412065,https://tpc.googlesyndication.com/simgad/9503729606757177446, --,Promedio,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
ENABLED,ELECTRO ABRIL 2026,Pmax -  Electro,"Electro: Ahorrá en Inverfin, Electrodomésticos Ofertas, Electro Cocina en Promo, Ofertas Imperdibles, Inverfin Electro, Equipate en Inverfin, Inverfin Promos, Electro con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Electro y Tecnología","Comprá hoy y disfrutá todo el año., Precios Increíbles en Electro cocina y lavado y con hasta 12 cuotas., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en heladeras, cocinas, microondas, lavarropas y más. Aprovechá en promo., Financiación disponible. Paga cómodamente en cuotas.",https://tpc.googlesyndication.com/simgad/15251904144417581579,https://tpc.googlesyndication.com/simgad/13046843514949820451, --,Pendiente,Apta,Electro, --,USD,2.00,"296,688","14,849",5.00%,0.04,593.87,0.00,0.00,0.00%,0.00,0.00
PAUSED,ELECTRO HOTSALE 2026,Pmax -  Electro,"Electro: Ahorrá en Inverfin, Electrodomésticos Hotsale, Electro Cocina en Promo, Ofertas Imperdibles de Hotsale, Inverfin Electro en Hotsale, Equipate en Inverfin, Inverfin Hotsale Hasta 50% Off, Electro - Hotsale Imperdible, Aprovechá Ofertas de Hotsale, Inverfin, tu espacio, Ahorro en Electro y Tecnología","Comprá hoy y disfrutá todo el año. No te pierdas hasta 50% Off en el Hotsale de Inverfín., Electro cocina y lavado con hasta 12 cuotas sin interés y hasta 50% Off., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio en Hotsale y servicio post venta garantizado., Descuentos y Envío gratis en todas tus compras. Es ahora o nunca, Marcas destacadas en heladeras, cocinas, microondas, lavarropas y más. Aprovechá en promo., Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/15251904144417581579, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/13046843514949820451, https://tpc.googlesyndication.com/simgad/15352945964255097194, https://tpc.googlesyndication.com/simgad/7203495006846005245, https://tpc.googlesyndication.com/simgad/11828034587447740550","https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447, https://tpc.googlesyndication.com/simgad/14867209215314157537",Promedio,Detenida,Electro, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
Total: Entidades no admitidas,,,,,,,,,,,,,USD,1.83,"2,027,999","425,654",20.99%,0.01,3717.98,"4,313.32",1.16,0.33%,"1,393.20",2.67
Total: Cuenta,,,,,,,,,,,,,USD,1.82,"4,652,692","1,205,256",25.90%,0.01,8462.28,"25,229.78",2.98,0.29%,"3,503.93",2.42
