"34 303,94",,,,,,,,,,,,,,,,,,,,,$2.249.469,,Objetivo Facturación,,,Objetivo Visitas,71.435,Objetivo Órdenes,155,,"-0,4594594595",Objetivo Ticket,$612.903,,,,"1,058823529",Inversión Total,,,Inv. Google | AO,Inv. Google | Hot Sale > Previa ,Inv. Google | Hot Sale > Acción ,Inv. Meta | AO,Inv. Meta | Hot Sale > Previa ,Inv. Meta | Hot Sale > Acción ,Inv. Tik Tok | AO,Inv. TT | Hot Sale > Acción ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,jueves,7 de mayo,"1,29%", $1.870.287, $769.999,-59%,2964,3.281,2,1,"0,07%","0,03%", $901.339, $769.999, $842.373, $769.999,2,1,"1,56%", $0, $315.977,"$175.777,91",,,"$140.198,82",,, $0,,#DIV/0!,"1,07","1,00","0,00%","41,04%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,viernes,8 de mayo,"1,05%", $1.520.105, $2.195.998,44%,2409,3.815,2,2,"0,07%","0,05%", $901.339, $1.097.999, $842.373, $731.999,2,3,"6,60%", $0, $331.174,"$203.814,05",,,"$84.542,87",,, $42.817,,#DIV/0!,"1,07","1,50","0,00%","15,08%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,sábado,9 de mayo,"0,75%", $1.088.074, $1.448.999,33%,1725,3.470,1,1,"0,07%","0,03%", $901.339, $1.448.999, $842.373, $1.448.999,1,1,"3,67%", $0, $290.638,"$154.225,75",,,"$67.691,12",,, $68.721,,#DIV/0!,"1,07","1,00","0,00%","20,06%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,"Cupon: HS5EXTRA (5% off con tope de $50mil, en las primera 50 compras)",,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,domingo,10 de mayo,"1,72%", $2.498.009, $0,-100%,3959,3.597,3,0,"0,07%","0,00%", $901.339,, $842.373,#DIV/0!,3,0,"3,67%", $0, $374.276,"$166.401,21",,,"$152.105,37",,, $55.769,,#DIV/0!,"1,07",#DIV/0!,"0,00%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,"BNA:  Hasta 24 cuotas sin interés  -
BBVA: Hasta 12 cuotas sin interés - 
NARANJA: Hasta 14 cuotas sin interés - 
GALICIA: Hasta 12 cuotas sin interés - 
MODO:   20% de reintegro  | Tope: $30.000 por banco y por promoción 
GO CUOTAS: 3 GO CUOTAS 
MERCADOPAGO: Hasta 18 cuotas sin interés ",HOTSALE  hASTA 35% Y HASTA 24 CSI ,lunes,11 de mayo,"25,91%", $37.689.004, $23.510.537,-38%,42642,11.182,81,36,"0,19%","0,32%", $465.180, $653.070, $426.771, $618.698,88,38,"2,44%", $0, $1.583.090,"$665.681,97",,,"$634.952,21",,, $282.456,,#DIV/0!,"1,09","1,06","0,00%","6,73%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,"BNA:  Hasta 24 cuotas sin interés  -
BBVA: Hasta 12 cuotas sin interés - 
NARANJA: Hasta 14 cuotas sin interés - 
GALICIA: Hasta 12 cuotas sin interés - 
MODO:   20% de reintegro  | Tope: $30.000 por banco y por promoción 
GO CUOTAS: 3 GO CUOTAS 
MERCADOPAGO: Hasta 18 cuotas sin interés ",HOTSALE  hASTA 35% Y HASTA 24 CSI ,martes,12 de mayo,"12,64%", $18.380.517, $9.769.123,-47%,20796,8.411,40,13,"0,19%","0,15%", $465.180, $751.471, $426.771, $751.471,43,13,"2,54%", $0, $1.413.770,"$773.543,07",,,"$446.889,82",,, $193.337,,#DIV/0!,"1,09","1,00","0,00%","14,47%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,"BNA:  Hasta 24 cuotas sin interés  -
BBVA: Hasta 12 cuotas sin interés - 
NARANJA: Hasta 14 cuotas sin interés - 
GALICIA: Hasta 12 cuotas sin interés - 
MODO:   20% de reintegro  | Tope: $30.000 por banco y por promoción 
GO CUOTAS: 3 GO CUOTAS 
MERCADOPAGO: Hasta 18 cuotas sin interés ",HOTSALE  hASTA 35% Y HASTA 24 CSI ,miércoles,13 de mayo,"9,22%", $13.409.036, $42.061.652,214%,15171,8.841,29,41,"0,19%","0,46%", $465.180, $1.025.894, $426.771, $1.001.468,31,42,"1,96%", $0, $1.872.219,"$1.154.871,43",,,"$555.575,61",,, $161.772,,#DIV/0!,"1,09","1,02","0,00%","4,45%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,"BNA:  Hasta 24 cuotas sin interés  -
BBVA: Hasta 12 cuotas sin interés - 
NARANJA: Hasta 14 cuotas sin interés - 
GALICIA: Hasta 12 cuotas sin interés - 
MODO:   20% de reintegro  | Tope: $30.000 por banco y por promoción 
GO CUOTAS: 3 GO CUOTAS 
MERCADOPAGO: Hasta 18 cuotas sin interés ",HOTSALE  hASTA 35% Y HASTA 24 CSI ,jueves,14 de mayo,"7,05%", $10.248.407, $11.668.176,14%,11595,3.459,22,9,"0,19%","0,26%", $465.180, $1.296.464, $426.771, $1.060.743,24,11,"1,56%", $0, $457.603,"$219.754,98",,,"$77.218,23",,, $160.630,,#DIV/0!,"1,09","1,22","0,00%","3,92%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,"BNA:  Hasta 24 cuotas sin interés  -
BBVA: Hasta 12 cuotas sin interés - 
NARANJA: Hasta 14 cuotas sin interés - 
GALICIA: Hasta 12 cuotas sin interés - 
MODO:   20% de reintegro  | Tope: $30.000 por banco y por promoción 
GO CUOTAS: 3 GO CUOTAS 
MERCADOPAGO: Hasta 18 cuotas sin interés ",HOTSALE  hASTA 35% Y HASTA 24 CSI ,viernes,15 de mayo,"6,32%", $9.196.804, $2.572.994,-72%,10405,2.470,20,6,"0,19%","0,24%", $465.180, $428.832, $426.771, $428.832,22,6,"6,60%", $0, $354.438,"$146.721,33",,,"$161.439,93",,, $46.277,,#DIV/0!,"1,09","1,00","0,00%","13,78%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,"BNA:  Hasta 24 cuotas sin interés  -
BBVA: Hasta 12 cuotas sin interés - 
NARANJA: Hasta 14 cuotas sin interés - 
GALICIA: Hasta 12 cuotas sin interés - 
MODO:   20% de reintegro  | Tope: $30.000 por banco y por promoción 
GO CUOTAS: 3 GO CUOTAS 
MERCADOPAGO: Hasta 18 cuotas sin interés ",HOTSALE  hASTA 35% Y HASTA 24 CSI ,sábado,16 de mayo,"3,36%", $4.882.757, $5.571.415,14%,5524,1.811,10,5,"0,19%","0,28%", $465.180, $1.114.283, $426.771, $928.569,11,6,"3,67%", $0, $241.941,"$163.339,54",,,"$78.601,09",,, $0,,#DIV/0!,"1,09","1,20","0,00%","4,34%","6,62%",,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
