"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-01,2026-05-31,"CARRUSEL killers 03 HOTSALE 2026",not_delivering,,,,20000,Diario,8433.44,2580,1845,2026-05-17,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:26:50-0300,-,-,-,"HOTSALE 2026 | Lookalike + RMK",,
2026-05-01,2026-05-31,"CARRUSEL TV killers 04 HOTSALE 2026",not_delivering,14,actions:offsite_conversion.fb_pixel_purchase,1571.46428571,50000,Diario,22000.5,2233,1223,2026-05-17,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:10:34-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-01,2026-05-31,"CARRUSEL TV killers 04 HOTSALE 2026",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,3422.34,20000,Diario,13689.36,3734,2705,2026-05-17,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:26:50-0300,-,-,-,"HOTSALE 2026 | Lookalike + RMK",,
2026-05-01,2026-05-31,"CARRUSEL TV killers 04 HOTSALE 2026",not_delivering,,,,50000,Diario,10989.67,2521,1991,2026-05-17,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T23:15:15-0300,-,-,-,"HOTSALE 2026 | RMK TV",,
2026-05-01,2026-05-31,"VIDEO Bancarias HOTSALE 2026",not_delivering,10,actions:offsite_conversion.fb_pixel_purchase,1492.121,20000,Diario,14921.21,1916,1079,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-01,2026-05-31,"VIDEO HOTSALE 2026",not_delivering,,,,20000,Diario,992.08,151,115,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-01,2026-05-31,"IMG Bancarias HOTSALE 2026",inactive,4,actions:offsite_conversion.fb_pixel_purchase,4270.0875,20000,Diario,17080.35,2134,1266,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-01,2026-05-31,"CARRUSEL Bancarias HOTSALE 2026 - Copia",inactive,,,,10000,Diario,211.23,50,45,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:43-0300,-,-,-,"HOTSALE 2026 | RMK 3 dias",,
2026-05-01,2026-05-31,"VIDEO HOTSALE 2026 - Copia",not_delivering,16,actions:offsite_conversion.fb_pixel_purchase,553.173125,10000,Diario,8850.77,1626,1161,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:43-0300,-,-,-,"HOTSALE 2026 | RMK 3 dias",,
2026-05-01,2026-05-31,"IMG Bancarias HOTSALE 2026 - Copia",inactive,5,actions:offsite_conversion.fb_pixel_purchase,1894.894,10000,Diario,9474.47,1323,873,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:43-0300,-,-,-,"HOTSALE 2026 | RMK 3 dias",,
2026-05-01,2026-05-31,"VIDEO Wearables HOTSALE 2026",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,329.61,5000,Diario,659.22,162,132,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,-,-,-,"HOTSALE 2026 | RMK Wearables",,
2026-05-01,2026-05-31,"IMG Wearables HOTSALE 2026",not_delivering,,,,5000,Diario,617.17,114,86,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,-,-,-,"HOTSALE 2026 | RMK Wearables",,
2026-05-01,2026-05-31,"IMG Kitchen HOTSALE 2026",not_delivering,,,,5000,Diario,606.02,95,76,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:18-0300,-,-,-,"HOTSALE 2026 | RMK Kitchen",,
2026-05-01,2026-05-31,"VIDEO B Electro HOTSALE 2026",not_delivering,9,actions:offsite_conversion.fb_pixel_purchase,1634.8,5000,Diario,14713.2,3453,2289,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,-,-,-,"HOTSALE 2026 | RMK Electro",,
