Informe de palabras clave de búsqueda
1 de mayo de 2026 - 31 de mayo de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenido,Tu Cine en Casa con Inverfin,Concordancia amplia,AI Max - Categorías,Linea blanca,Detenida,detenido; publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,ofertas aire acondicionado,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,30.96,386,22,5.70%,0.54,11.95,22,0.00%,0.00,0.00,0.00,0.54,0.00,0.00
Habilitado,aire acondicionado y climatizacion,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,precio aire inverter paraguay,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,aire fama inverfin,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,4.29,7,3,42.86%,0.01,0.03,3,0.00%,0.00,0.00,0.00,0.01,0.00,0.00
Habilitado,aire acondicionado 9000 btu precio,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0.00,7,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado precio,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; baja calidad; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,a/c precio paraguay,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,aire acondicionado inverter oferta,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,55.44,47,8,17.02%,0.33,2.61,8,0.00%,0.00,0.00,0.00,0.33,0.00,0.00
Habilitado,aire acondicionado 12000,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,35.91,186,15,8.06%,0.45,6.68,15,0.00%,0.00,0.00,0.00,0.45,0.00,0.00
Habilitado,aire inverter barato,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,comprar aire acondicionado,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,98.90,79,9,11.39%,0.87,7.81,9,0.00%,0.00,0.00,0.00,0.87,0.00,0.00
Habilitado,aparato de aire frio y calor,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0.00,2,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,aire acondicionado 9000 btu oferta,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,"""aire acondicionado 12000 btu oferta""",Concordancia de frase,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; campaña detenida,https://inverfin.com.py/collections/climatizacion,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,inverfin aire acondicionado,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,36.23,55,20,36.36%,0.10,1.99,20,0.00%,0.00,0.00,0.00,0.10,0.00,0.00
Detenido,aire acondicionado barato,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,aire acondicionado precio paraguay,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,30.28,286,19,6.64%,0.46,8.66,19,0.00%,0.00,0.00,0.00,0.46,0.00,0.00
Habilitado,aire inverter bajo consumo,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,split precio paraguay,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,a/c 9000 btu cuotas,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; publicación limitada; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,ofertas aire acondicionado hoy,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire 9000 btu,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,aire acondicionado split precio,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,split inverter precio,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,aire acondicionado inverter consumo,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,venta de aires acondicionados online,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,21.68,31,1,3.23%,0.67,0.67,1,0.00%,0.00,0.00,0.00,0.67,0.00,0.00
Habilitado,aire acondicionado cuotas,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,77.78,9,1,11.11%,0.70,0.70,1,0.00%,0.00,0.00,0.00,0.70,0.00,0.00
Habilitado,split 9000 btu paraguay,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,0.00,1,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire inverter en promoción,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,Detenida,detenido; campaña detenida,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,aire inverter 12000 btu precio,Concordancia amplia,Search - Aires Acondicionado,Aires Acondicionados,No apta,campaña detenida,,USD,0,34.17,12,1,8.33%,0.41,0.41,1,0.00%,0.00,0.00,0.00,0.41,0.00,0.00
