Informe de grupos de anuncios
1 de abril de 2026 - 30 de abril de 2026
Estado del grupo de anuncios,Grupo de anuncios,Campaña,Código de moneda,CPV objetivo de TrueView,CPA objetivo,ROAS objetivo,CPM objetivo,Estado,Motivos del estado,Tipo de grupo de anuncios,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Inclusiones de marca,Ubicaciones de interés,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Cocinas y Electro cocina,DSA - Inverfin,USD, --, --, --, --,No apto,campaña detenida; desconocido,Dinámico,USD,0,15.94,"18,597","2,038",10.96%,0.15,296.40,[],[],0.00,0,0.00,"2,038",0.05%,585.75,1.98,1.00,0.15,296.40,585.75
Habilitado,Celulares,Search Tecnología,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,8.29,"30,654","2,875",9.38%,0.09,254.26,[],[],0.00,0,0.00,"2,875",0.00%,0.00,0.00,0.00,0.09,0.00,0.00
Detenido,Lavarropas,Search - Inverfin - Hotsale Genérica,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,TV,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Dinámico,USD,0,7.62,"2,437",369,15.14%,0.05,18.57,[],[],0.00,0,0.00,369,0.00%,0.00,0.00,0.00,0.05,0.00,0.00
Detenido,Remarketing visitas hotsale 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,Detenido,grupo de anuncios detenido; se rechazaron algunos anuncios; campaña detenida, --,USD,0,1.05,"114,070","3,349",2.94%,0.04,119.84,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]","5,083.00",0.02,42.41,"3,349",4.42%,148.09,1.24,148.09,0.04,0.81,148.09
Habilitado,Taiga TL Maxi,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,20.30,"6,407",802,12.52%,0.16,130.05,[],[],0.00,0,0.00,802,41.70%,334.46,2.57,334.46,0.16,0.39,334.46
Detenido,Remarketing visitas hotsale 2026,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,Detenido,grupo de anuncios detenido; se rechazaron algunos anuncios; campaña detenida, --,USD,0,1.28,"44,726","1,127",2.52%,0.05,57.26,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]","2,037.00",0.03,35.57,"1,127",5.39%,60.76,1.06,60.76,0.05,0.94,60.76
Detenido,Aires Acondicionado,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Dinámico,USD,0,18.63,"2,006",280,13.96%,0.13,37.38,[],[],0.00,0,0.00,280,0.00%,0.00,0.00,0.00,0.13,0.00,0.00
Habilitado,carritos,Display Remarketing - Carritos,USD, --, --, --, --,No apto,campaña detenida; desconocido,Red de Display,USD,0,1.85,"49,661","3,399",6.84%,0.03,92.07,[],[],0.00,0,0.00,"3,399",0.00%,0.00,0.00,0.00,0.03,0.00,0.00
Habilitado,Linea blanca,AI Max - Categorías,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Heladeras,Search - Inverfin - Hotsale Genérica,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Lavarropas,Search - Aires Acondicionado,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Personalizada,Generación de demanda - Inverfin,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores Día de la madre 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Smart TV,Search Tecnología,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,6.32,"8,056",434,5.39%,0.12,50.92,[],[],0.00,0,0.00,434,0.23%,119.66,2.35,1.00,0.12,50.92,119.66
