"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-25,2026-06-01,"Multi | Perf | Lanzamiento - Conversiones OK",active,25,actions:offsite_conversion.fb_pixel_purchase,1265.6956,"Con el presupuesto del conjunto de anuncios",0,31642.39,11211,4986,2026-06-30,"7 días tras clic o 1 día tras visualización",,
2026-05-25,2026-06-01,"Multi  (Meta) PERF | PROMO - Conversiones OK",active,4,actions:offsite_conversion.fb_pixel_purchase,14222.5275,"Con el presupuesto del conjunto de anuncios",0,56890.11,14338,5405,"En curso","Configuración de atribución múltiple",,
2026-05-25,2026-06-01,"Multi  (Meta) PERF | AO Categorias - Trafico OK",active,9748,actions:omni_landing_page_view,25.01453939,"Con el presupuesto del conjunto de anuncios",0,243841.73,407341,204602,"En curso","7 días tras clic o 1 día tras visualización",,
2026-05-25,2026-06-01,"Multi  (Meta) PERF | AO Categorias - Conversiones OK",active,47,actions:offsite_conversion.fb_pixel_purchase,3349.65170213,"Con el presupuesto del conjunto de anuncios",0,157433.63,49956,14030,"En curso","7 días tras clic o 1 día tras visualización",,
2026-05-25,2026-06-01,"Multi (Meta) BRAND | AO - Leads OK",active,8,actions:leadgen.other,1212.87875,"Con el presupuesto del conjunto de anuncios",0,9703.03,2225,1758,"En curso","7 días tras clic o 1 día tras visualización",,
2026-05-25,2026-06-01,"Multi (Meta) BRAND | AO - Interaccion (Posteos) OK",active,40,actions:post_engagement,28.315,"Con el presupuesto del conjunto de anuncios",0,1132.6,225,214,"En curso","7 días tras clic o 1 día tras visualización",,
