"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-25,2026-06-01,"COLECCION c/img Audio AO Feb2025",active,5,actions:omni_landing_page_view,24.744,7000,Diario,123.72,195,184,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-25,2026-06-01,"DINAMICO (img/video) TV",active,20,actions:offsite_conversion.fb_pixel_purchase,1965.402,5000,Diario,39308.04,12401,5168,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,Promedio,Promedio,Promedio,"TV | RMK WEB TV",,
2026-05-25,2026-06-01,"DINAMICO (img/video) Celulares",active,,,,3000,Diario,1476.42,417,305,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:03-0300,-,-,-,"Celulares | RMK WEB Celulares",,
2026-05-25,2026-06-01,"DINAMICO (carrusel) Celulares",active,6,actions:offsite_conversion.fb_pixel_purchase,3820.535,3000,Diario,22923.21,7411,3074,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:03-0300,Promedio,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Celulares | RMK WEB Celulares",,
2026-05-25,2026-06-01,"DINAMICO (carrusel) Audio Soundbar",active,10,actions:offsite_conversion.fb_pixel_purchase,4027.825,5000,Diario,40278.25,11143,1842,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:55:51-0300,Promedio,"Por encima del promedio",Promedio,"Audio Soundbar | RMK WEB Audio",,
2026-05-25,2026-06-01,"DINAMICO (img/video) Audio Soundbar",active,,,,5000,Diario,1525.38,337,203,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:55:51-0300,-,-,-,"Audio Soundbar | RMK WEB Audio",,
2026-05-25,2026-06-01,"DINAMICO (img/video) Electro Heladeras",active,7,actions:offsite_conversion.fb_pixel_purchase,3528.24714286,3000,Diario,24697.73,9394,4456,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes","Electro Heladera | RMK WEB Electro",,
2026-05-25,2026-06-01,"IMG ELECTRODAYS 2026",active,,,,3000,Diario,1061.45,234,185,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,-,-,-,"ELECTRODAYS 2026 |  RMK WEB + LKL",,
2026-05-25,2026-06-01,"VIDEO ELECTRODAYS 2026",active,1,actions:offsite_conversion.fb_pixel_purchase,22539.79,3000,Diario,22539.79,4743,2371,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,-,-,-,"ELECTRODAYS 2026 |  RMK WEB + LKL",,
2026-05-25,2026-06-01,"IMG AO Celulares Feb2025",active,,,,7040,Diario,27.21,36,36,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Celulares)  | Target A+",,
2026-05-25,2026-06-01,"Dinamico (img/video) Informatica Monitores",active,28,actions:omni_landing_page_view,14.67535714,1500,Diario,410.91,346,324,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:23-0300,-,-,-,"AO (InformaticaMonitores)  | Target A+",,
2026-05-25,2026-06-01,"VIDEO AO Audio Feb2025",active,,,,7000,Diario,34.1,47,46,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-25,2026-06-01,"Dinamico (img/video) Wearables",active,,,,2000,Diario,8.46,9,8,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-25,2026-06-01,"IMG AO Wearables Feb2025",active,2,actions:omni_landing_page_view,68.235,2000,Diario,136.47,114,109,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-25,2026-06-01,"IMG AO KitchenFeb2025",active,,,,2000,Diario,12.15,18,18,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/video Wearables AO Feb2025",active,,,,2000,Diario,23.17,43,35,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-25,2026-06-01,"IMG AO Audio Feb2025",active,6,actions:omni_landing_page_view,41.13166667,7000,Diario,246.79,302,272,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-25,2026-06-01,"Dinamico (img/video) Kitchen",active,,,,2000,Diario,3.24,4,4,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-25,2026-06-01,"VIDEO AO TV Feb2025",active,25,actions:omni_landing_page_view,15.4692,7000,Diario,386.73,342,292,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,-,-,-,"AO (TV)  | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/video TV AO Feb2025",active,8,actions:omni_landing_page_view,25.4875,7000,Diario,203.9,438,359,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:51-0300,-,-,-,"AO (TV)  | Target A+",,
2026-05-25,2026-06-01,"COLECCION c/video Audio AO Feb2025",active,13,actions:omni_landing_page_view,50.73461538,7000,Diario,659.55,826,621,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,Promedio,"Por encima del promedio",Promedio,"AO (AudioSoundbar)  | Target A+",,
2026-05-25,2026-06-01,"VIDEO TV AO",active,,,,5000,Diario,1636.11,280,212,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,-,-,-,"TV | RMK WEB TV",,
2026-05-25,2026-06-01,"IMG TV AO",active,,,,5000,Diario,1069.85,269,226,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,-,-,-,"TV | RMK WEB TV",,
2026-05-25,2026-06-01,"DINAMICO (carrusel) TV",active,,,,5000,Diario,56.16,24,21,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,-,-,-,"TV | RMK WEB TV",,
2026-05-25,2026-06-01,"DINAMICO (img/video) Kitchen",active,,,,3000,Diario,831.55,147,119,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,-,-,-,"Kitchen | RMK WEB Kitchen",,
2026-05-25,2026-06-01,"DINAMICO (carrusel) Kitchen",active,4,actions:offsite_conversion.fb_pixel_purchase,5755.2225,3000,Diario,23020.89,7775,3456,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,Promedio,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Kitchen | RMK WEB Kitchen",,
2026-05-25,2026-06-01,"DINAMICO (carrusel) Electro Heladeras",active,,,,3000,Diario,610.04,358,283,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,-,-,-,"Electro Heladera | RMK WEB Electro",,
2026-05-25,2026-06-01,"IMG Lanz A57 + A36  LANZAMIENTO Hasta 29/05",inactive,25,actions:offsite_conversion.fb_pixel_purchase,1078.9548,4216,Diario,26973.87,9215,3946,2026-06-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,-,-,-,"Lanz A57 + A36 | RMK Celulares + LKL",,
