"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-18,2026-05-25,"Multi | Perf | Lanzamiento - Conversiones OK",active,4,actions:offsite_conversion.fb_pixel_purchase,3690.9825,"Con el presupuesto del conjunto de anuncios",0,14763.93,4842,2246,2026-06-30,"7 días tras clic o 1 día tras visualización",,
2026-05-18,2026-05-25,"Multi (Meta) PERF | HOTSALE 2026 - Conv - Copia",inactive,31,actions:offsite_conversion.fb_pixel_purchase,967.4583871,"Con el presupuesto del conjunto de anuncios",0,29991.21,6281,3233,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,
2026-05-18,2026-05-25,"Multi (Meta) PERF | HOTSALE 2026 - Conv (xcategorias) - Copia",inactive,12,actions:offsite_conversion.fb_pixel_purchase,1676.815,"Con el presupuesto del conjunto de anuncios",0,20121.78,5233,3039,2026-05-18,"Configuración de atribución múltiple",,
2026-05-18,2026-05-25,"Multi (Meta) PERF | HOTSALE 2026 - Trafico (xcategorias) - Copia",inactive,269,actions:omni_landing_page_view,24.65371747,"Con el presupuesto del conjunto de anuncios",0,6631.85,7730,6817,2026-05-18,"7 días tras clic o 1 día tras visualización",,
2026-05-18,2026-05-25,"Multi (Meta) PERF | HOTSALE 2026 - Catalogo - Copia",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,7823.2,1518,1200,2026-05-18,"7 días tras clic o 1 día tras visualización",,
2026-05-18,2026-05-25,"Multi  (Meta) PERF | PROMO - Conversiones OK",active,8,actions:offsite_conversion.fb_pixel_purchase,3141.7975,"Con el presupuesto del conjunto de anuncios",0,25134.38,5716,2489,"En curso","Configuración de atribución múltiple",,
2026-05-18,2026-05-25,"Multi  (Meta) PERF | AO Categorias - Trafico OK",active,7871,actions:omni_landing_page_view,25.35686317,"Con el presupuesto del conjunto de anuncios",0,199583.87,320818,181551,"En curso","7 días tras clic o 1 día tras visualización",,
2026-05-18,2026-05-25,"Multi  (Meta) PERF | AO Categorias - Conversiones OK",active,33,actions:offsite_conversion.fb_pixel_purchase,3144.1269697,"Con el presupuesto del conjunto de anuncios",0,103756.19,39213,16446,"En curso","7 días tras clic o 1 día tras visualización",,
