"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-18,2026-05-25,"AO (InformaticaMonitores)  | Target A+",active,443,actions:omni_landing_page_view,22.47871332,1500,Diario,9958.07,10625,7543,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:23-0300,,
2026-05-18,2026-05-25,"AO (AudioSoundbar)  | Target A+",active,1292,actions:omni_landing_page_view,36.22104489,7000,Diario,46797.59,65035,43423,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,,
2026-05-18,2026-05-25,"AO (Electro Heladeras) | Target A+",active,474,actions:omni_landing_page_view,27.79732068,2000,Diario,13175.93,21825,16441,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:15-0300,,
2026-05-18,2026-05-25,"AO (Accesorios)  | Target A+",active,878,actions:omni_landing_page_view,14.84694761,2000,Diario,13035.62,20344,16674,"En curso",2026-05-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:03-0300,,
2026-05-18,2026-05-25,"Audio Soundbar | RMK WEB Audio",active,11,actions:offsite_conversion.fb_pixel_purchase,2385.51,5000,Diario,26240.61,8837,1728,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:55:51-0300,,
2026-05-18,2026-05-25,"Kitchen | RMK WEB Kitchen",active,2,actions:offsite_conversion.fb_pixel_purchase,8343.795,3000,Diario,16687.59,6784,3672,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,,
2026-05-18,2026-05-25,"Electro Heladera | RMK WEB Electro",active,8,actions:offsite_conversion.fb_pixel_purchase,2071.55625,3000,Diario,16572.45,6949,4026,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,,
2026-05-18,2026-05-25,"Celulares | RMK WEB Celulares",active,7,actions:offsite_conversion.fb_pixel_purchase,2382.37142857,3000,Diario,16676.6,6666,4042,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:03-0300,,
2026-05-18,2026-05-25,"TV | RMK WEB TV",active,5,actions:offsite_conversion.fb_pixel_purchase,5515.788,5000,Diario,27578.94,9977,5925,"En curso",2026-05-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,,
2026-05-18,2026-05-25,"Lanz A57 + A36 | RMK Celulares + LKL",active,4,actions:offsite_conversion.fb_pixel_purchase,3690.9825,4216,Diario,14763.93,4842,2246,2026-06-30,2026-05-22,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,,
