"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-04-01,2026-04-30,"Multi  (Meta) PERF | AO Categorias - Trafico",not_delivering,43445,actions:omni_landing_page_view,22.64784877,"Con el presupuesto del conjunto de anuncios",0,983935.79,1522998,510413,"En curso","7 días tras clic o 1 día tras visualización",,
2026-04-01,2026-04-30,"Multi  (Meta) PERF | AO Categorias - Conversiones",not_delivering,102,actions:offsite_conversion.fb_pixel_purchase,6681.3704902,"Con el presupuesto del conjunto de anuncios",0,681499.79,198638,52460,"En curso","7 días tras clic o 1 día tras visualización",,
2026-04-01,2026-04-30,"Multi  (Meta) PERF | PROMO - Conversiones",inactive,96,actions:offsite_conversion.fb_pixel_purchase,5989.4875,"Con el presupuesto del conjunto de anuncios",0,574990.8,182209,51105,"En curso","Configuración de atribución múltiple",,
2026-04-01,2026-04-30,"Multi  (Meta) PERF | AO - Catalogo",inactive,143,actions:offsite_conversion.fb_pixel_purchase,410.78972028,"Con el presupuesto del conjunto de anuncios",0,58742.93,31544,14149,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,
2026-04-01,2026-04-30,"Multi (Meta) BRAND | AO - Interaccion (Posteos)",inactive,20291,actions:post_engagement,1.17835888,"Con el presupuesto del conjunto de anuncios",0,23910.08,44111,30289,"En curso","7 días tras clic o 1 día tras visualización",,
2026-04-01,2026-04-30,"Multi (Meta) BRAND | AO - Leads",inactive,75,actions:leadgen.other,599.53546667,"Con el presupuesto del conjunto de anuncios",0,44965.16,10107,5505,"En curso","7 días tras clic o 1 día tras visualización",,
2026-04-01,2026-04-30,"Multi  (Meta) PERF | AO - Trafico",inactive,1883,actions:omni_landing_page_view,18.11231014,"Con el presupuesto del conjunto de anuncios",0,34105.48,80958,21276,"En curso","7 días tras clic o 1 día tras visualización",,
2026-04-01,2026-04-30,"Multi (Meta) BRAND | HOTSALE 2026 (Previa) - Leads",inactive,7,actions:leadgen.other,1584.00428571,"Con el presupuesto del conjunto de anuncios",0,11088.03,2172,2005,2026-05-10,"7 días tras clic o 1 día tras visualización",,
